order_item_id,order_id,product_id,quantity
1,227,86,2
2,203,98,4
3,13,95,5
4,139,12,3
5,167,11,3
6,18,50,1
7,134,41,2
8,134,49,1
9,156,13,4
10,126,65,5
11,106,43,3
12,261,51,5
13,247,14,2
14,230,68,5
15,298,90,5
16,275,4,3
17,81,26,3
18,200,67,3
19,50,53,3
20,65,74,1
21,23,39,5
22,161,54,3
23,164,46,3
24,167,96,5
25,257,2,5
26,63,20,3
27,167,42,5
28,36,58,3
29,246,59,3
30,195,11,5
31,29,18,1
32,269,63,5
33,129,32,5
34,174,47,3
35,207,40,4
36,175,69,5
37,86,4,2
38,129,88,2
39,289,18,1
40,95,99,4
41,26,13,5
42,137,92,1
43,105,34,1
44,293,68,1
45,38,28,2
46,262,56,1
47,189,63,3
48,113,26,5
49,253,31,4
50,232,87,3
51,279,25,4
52,38,33,4
53,104,2,5
54,195,66,4
55,40,52,5
56,262,75,5
57,218,6,3
58,235,1,2
59,154,90,1
60,277,16,3
61,263,96,3
62,279,83,5
63,283,37,5
64,211,70,5
65,210,78,5
66,158,58,3
67,68,65,4
68,72,71,2
69,130,82,1
70,218,95,5
71,19,48,4
72,206,37,1
73,47,12,1
74,197,35,4
75,140,48,4
76,173,50,4
77,60,62,3
78,75,54,2
79,10,23,3
80,189,17,5
81,148,53,3
82,264,37,4
83,141,56,3
84,249,28,4
85,206,92,4
86,47,9,2
87,106,20,2
88,14,14,3
89,80,62,1
90,205,84,2
91,2,12,4
92,27,71,2
93,274,55,3
94,25,84,1
95,284,87,4
96,61,34,3
97,92,62,1
98,110,87,1
99,200,16,4
100,151,88,5
101,255,51,1
102,246,14,2
103,198,79,2
104,86,67,3
105,214,96,5
106,148,64,5
107,110,98,5
108,173,63,1
109,5,97,3
110,137,8,5
111,226,39,1
112,118,66,3
113,139,91,2
114,211,19,2
115,132,25,4
116,288,81,5
117,30,69,5
118,261,20,4
119,139,36,4
120,157,35,4
121,110,64,3
122,241,31,3
123,91,78,2
124,298,89,4
125,274,20,1
126,259,42,5
127,70,83,2
128,162,80,4
129,246,43,1
130,66,18,3
131,116,12,5
132,26,73,2
133,60,29,5
134,103,65,5
135,158,55,3
136,3,100,1
137,157,79,2
138,44,96,2
139,144,88,3
140,138,77,5
141,195,3,1
142,169,45,2
143,59,33,2
144,294,6,3
145,40,12,1
146,154,41,2
147,138,68,1
148,186,4,1
149,72,52,3
150,124,13,3
151,141,2,5
152,165,15,3
153,65,78,3
154,208,12,5
155,271,61,5
156,215,69,4
157,155,29,3
158,282,18,1
159,261,15,2
160,124,28,4
161,141,70,1
162,129,69,3
163,272,34,4
164,65,52,1
165,192,9,5
166,186,70,5
167,260,88,5
168,16,80,3
169,229,88,2
170,80,10,5
171,73,87,2
172,248,99,3
173,187,38,2
174,80,49,4
175,208,16,5
176,75,35,3
177,5,69,1
178,68,49,5
179,52,59,1
180,222,77,4
181,142,48,4
182,208,78,4
183,28,13,4
184,20,83,1
185,22,15,5
186,72,68,5
187,183,71,3
188,291,84,3
189,243,90,2
190,123,14,5
191,184,21,1
192,21,91,3
193,217,94,3
194,130,85,1
195,223,54,4
196,184,38,3
197,226,90,2
198,266,19,1
199,175,87,1
200,263,23,5
201,250,44,1
202,299,3,4
203,108,50,2
204,204,92,2
205,52,32,3
206,169,85,2
207,237,96,4
208,190,64,2
209,222,57,4
210,278,16,5
211,250,35,2
212,77,2,4
213,213,14,1
214,39,24,4
215,194,86,5
216,148,20,2
217,269,14,3
218,10,60,4
219,117,69,4
220,3,70,2
221,217,21,2
222,176,85,2
223,39,100,5
224,286,21,2
225,193,75,1
226,263,28,4
227,121,6,5
228,98,90,5
229,275,10,2
230,204,100,4
231,61,73,1
232,199,12,5
233,49,83,4
234,24,67,2
235,7,3,3
236,239,36,4
237,86,77,2
238,288,91,3
239,274,82,4
240,257,54,5
241,86,90,4
242,200,26,4
243,143,47,2
244,133,73,3
245,90,100,5
246,43,94,3
247,173,19,3
248,131,33,3
249,197,36,5
250,240,2,2
251,67,33,2
252,101,10,5
253,276,80,2
254,279,55,2
255,296,18,5
256,236,51,2
257,43,81,1
258,79,86,1
259,16,96,4
260,196,54,2
261,67,87,5
262,280,10,2
263,196,18,3
264,104,85,4
265,183,96,2
266,116,39,2
267,179,63,5
268,150,12,5
269,154,27,4
270,12,38,5
271,53,79,3
272,228,33,5
273,30,7,3
274,82,17,1
275,58,56,5
276,126,96,2
277,259,65,4
278,63,91,2
279,197,85,5
280,69,92,5
281,131,93,1
282,62,26,5
283,194,85,4
284,280,79,2
285,138,5,2
286,284,65,2
287,211,36,4
288,205,35,4
289,51,86,2
290,96,72,1
291,233,97,1
292,251,28,4
293,276,44,2
294,49,10,1
295,217,57,2
296,89,77,5
297,98,66,4
298,268,47,2
299,120,47,5
300,34,44,1
301,235,6,5
302,91,19,3
303,241,6,5
304,257,9,5
305,203,12,4
306,263,74,3
307,202,35,3
308,241,7,5
309,245,3,4
310,156,76,3
311,77,77,5
312,285,36,1
313,185,54,4
314,267,4,5
315,298,15,1
316,294,68,1
317,52,43,3
318,189,97,5
319,18,82,3
320,299,10,4
321,43,70,4
322,172,65,5
323,2,21,3
324,185,28,2
325,298,19,5
326,56,52,3
327,261,54,3
328,175,34,5
329,189,5,1
330,127,34,4
331,282,37,5
332,43,10,2
333,137,53,1
334,65,37,5
335,135,31,2
336,51,36,4
337,25,95,5
338,155,27,5
339,39,71,3
340,174,38,5
341,69,5,4
342,187,96,1
343,15,41,4
344,84,72,1
345,270,55,2
346,102,30,1
347,67,76,5
348,63,93,3
349,235,26,1
350,185,59,3
351,182,29,1
352,8,63,1
353,85,33,5
354,21,2,2
355,44,68,2
356,18,68,2
357,108,57,3
358,125,63,5
359,191,42,4
360,38,25,5
361,93,25,5
362,153,75,4
363,243,47,1
364,250,3,1
365,296,86,5
366,222,91,5
367,176,44,1
368,216,25,5
369,254,78,5
370,282,65,4
371,295,99,4
372,242,22,3
373,269,39,5
374,203,78,5
375,133,33,3
376,8,78,1
377,235,59,3
378,119,66,4
379,108,90,4
380,172,90,2
381,197,56,1
382,57,46,1
383,131,97,5
384,28,40,4
385,8,42,3
386,159,76,1
387,107,92,1
388,169,16,1
389,66,100,3
390,210,78,3
391,120,4,2
392,259,96,5
393,188,39,3
394,194,54,5
395,237,10,2
396,209,30,5
397,22,80,2
398,115,32,4
399,195,27,5
400,78,93,3
401,185,1,3
402,228,64,2
403,75,4,3
404,224,71,3
405,263,63,3
406,58,75,3
407,281,85,3
408,220,2,3
409,45,82,4
410,59,65,2
411,136,56,3
412,119,7,1
413,264,66,5
414,84,17,3
415,25,9,2
416,2,87,1
417,217,94,1
418,34,8,1
419,18,69,3
420,171,3,5
421,5,72,2
422,241,26,3
423,152,75,5
424,268,33,2
425,94,27,4
426,31,31,5
427,232,5,3
428,168,53,1
429,9,73,2
430,259,82,1
431,95,28,2
432,91,39,1
433,31,41,2
434,33,57,2
435,119,6,3
436,177,8,5
437,46,57,2
438,117,86,2
439,62,8,2
440,28,96,1
441,45,96,2
442,147,92,3
443,270,55,2
444,17,93,3
445,100,42,3
446,183,59,5
447,196,87,4
448,46,55,2
449,251,44,2
450,59,31,1
451,224,36,5
452,156,43,3
453,210,59,3
454,181,41,4
455,242,66,1
456,190,17,3
457,87,39,5
458,65,71,2
459,86,59,2
460,70,21,1
461,130,31,3
462,162,22,3
463,243,40,1
464,220,20,5
465,181,58,1
466,80,88,3
467,36,88,2
468,246,69,1
469,24,93,2
470,183,95,3
471,260,46,5
472,192,44,1
473,95,49,1
474,139,79,2
475,32,32,3
476,168,73,4
477,126,47,1
478,119,38,5
479,4,26,1
480,70,29,3
481,260,35,2
482,84,30,1
483,160,74,5
484,261,70,5
485,278,56,4
486,298,66,4
487,94,66,3
488,101,56,1
489,142,27,2
490,73,18,2
491,11,21,4
492,186,24,1
493,185,11,5
494,122,87,2
495,45,57,2
496,176,22,5
497,10,28,3
498,246,71,1
499,27,47,4
500,287,45,2
501,250,9,5
502,164,86,5
503,160,78,3
504,294,12,4
505,174,54,1
506,135,9,3
507,10,24,3
508,116,41,3
509,130,40,4
510,213,2,3
511,84,82,3
512,25,15,4
513,221,79,2
514,143,46,5
515,254,74,3
516,132,87,2
517,166,19,3
