order_id,customer_id,order_date
1,2,2025-11-22
2,97,2025-05-29
3,64,2025-07-03
4,20,2025-08-29
5,65,2025-02-21
6,10,2025-06-17
7,86,2025-09-18
8,23,2025-03-30
9,19,2025-03-18
10,40,2025-06-13
11,91,2025-02-24
12,78,2025-09-21
13,17,2025-05-31
14,19,2025-04-16
15,93,2025-10-07
16,100,2025-01-17
17,80,2025-06-11
18,71,2025-12-11
19,27,2025-12-20
20,39,2025-04-02
21,69,2025-08-10
22,7,2025-03-22
23,32,2025-12-08
24,100,2025-05-10
25,88,2025-02-02
26,56,2025-08-17
27,33,2025-10-09
28,57,2025-10-05
29,59,2025-10-03
30,51,2025-01-06
31,22,2025-06-23
32,63,2025-05-13
33,83,2025-01-13
34,74,2025-08-02
35,8,2025-01-10
36,46,2025-12-21
37,18,2025-10-24
38,17,2025-10-31
39,34,2025-03-12
40,51,2025-05-22
41,52,2025-10-16
42,79,2025-03-30
43,30,2025-02-15
44,1,2025-09-06
45,68,2025-04-01
46,65,2025-06-12
47,57,2025-11-29
48,82,2025-12-18
49,31,2025-04-26
50,64,2025-06-10
51,62,2025-12-18
52,92,2025-04-26
53,44,2025-07-31
54,79,2025-10-14
55,36,2025-12-01
56,29,2025-11-27
57,10,2025-01-25
58,83,2025-09-19
59,21,2025-07-08
60,99,2025-09-19
61,40,2025-04-15
62,89,2025-06-02
63,71,2025-06-03
64,22,2025-07-10
65,90,2025-12-26
66,77,2025-08-26
67,16,2025-02-13
68,66,2025-11-07
69,49,2025-10-20
70,20,2025-04-01
71,55,2025-05-09
72,73,2025-04-22
73,64,2025-01-27
74,51,2025-12-15
75,45,2025-11-23
76,66,2025-07-16
77,70,2025-03-26
78,68,2025-01-21
79,33,2025-02-16
80,13,2025-11-18
81,95,2025-05-17
82,18,2025-02-12
83,85,2025-11-12
84,90,2025-12-18
85,57,2025-02-11
86,49,2025-05-04
87,51,2025-08-10
88,42,2025-03-26
89,17,2025-08-13
90,63,2025-11-15
91,16,2025-04-19
92,77,2025-08-09
93,53,2025-10-01
94,85,2025-03-02
95,36,2025-06-01
96,49,2025-05-08
97,1,2025-10-14
98,68,2025-04-08
99,75,2025-08-13
100,4,2025-01-11
101,78,2025-11-18
102,34,2025-05-05
103,23,2025-04-16
104,19,2025-05-26
105,26,2025-10-05
106,40,2025-05-20
107,97,2025-10-27
108,88,2025-05-09
109,22,2025-08-17
110,46,2025-10-07
111,54,2025-09-09
112,99,2025-03-04
113,74,2025-04-17
114,27,2025-07-16
115,14,2025-05-26
116,16,2025-01-13
117,96,2025-10-19
118,70,2025-01-07
119,87,2025-06-01
120,18,2025-11-29
121,65,2025-02-08
122,74,2025-07-11
123,56,2025-06-09
124,87,2025-09-15
125,98,2025-07-02
126,42,2025-09-28
127,16,2025-01-01
128,92,2025-08-15
129,45,2025-08-19
130,70,2025-06-06
131,44,2025-07-24
132,74,2025-12-16
133,15,2025-09-10
134,49,2025-11-28
135,27,2025-07-15
136,1,2025-10-13
137,82,2025-05-23
138,93,2025-11-03
139,26,2025-09-19
140,77,2025-08-25
141,53,2025-09-22
142,40,2025-12-31
143,22,2025-12-26
144,80,2025-08-19
145,68,2025-12-09
146,47,2025-04-12
147,1,2025-09-27
148,50,2025-12-14
149,55,2025-10-24
150,44,2025-07-27
151,75,2025-11-15
152,96,2025-12-25
153,64,2025-02-04
154,82,2025-05-07
155,38,2025-11-29
156,3,2025-11-19
157,93,2025-07-28
158,20,2025-11-19
159,100,2025-11-21
160,35,2025-07-23
161,99,2025-04-02
162,100,2025-02-07
163,2,2025-11-06
164,34,2025-06-28
165,53,2025-12-29
166,70,2025-12-17
167,20,2025-06-05
168,34,2025-08-25
169,22,2025-09-06
170,66,2025-08-28
171,35,2025-01-24
172,13,2025-09-19
173,55,2025-10-30
174,46,2025-02-05
175,85,2025-02-04
176,3,2025-08-15
177,65,2025-03-26
178,21,2025-12-30
179,12,2025-12-20
180,82,2025-07-25
181,36,2025-12-19
182,39,2025-11-06
183,68,2025-04-17
184,31,2025-04-17
185,35,2025-06-20
186,10,2025-02-05
187,67,2025-12-24
188,48,2025-12-04
189,66,2025-08-28
190,95,2025-10-13
191,22,2025-01-26
192,84,2025-06-02
193,35,2025-10-12
194,79,2025-07-02
195,51,2025-04-29
196,52,2025-10-15
197,62,2025-03-30
198,79,2025-05-13
199,92,2025-06-18
200,34,2025-04-24
201,91,2025-11-09
202,85,2025-05-06
203,80,2025-01-16
204,41,2025-07-26
205,98,2025-08-10
206,35,2025-05-08
207,10,2025-04-08
208,94,2025-11-17
209,75,2025-03-26
210,75,2025-08-16
211,78,2025-03-17
212,59,2025-05-15
213,21,2025-09-27
214,100,2025-03-12
215,92,2025-03-12
216,47,2025-08-14
217,97,2025-06-08
218,31,2025-07-25
219,92,2025-03-01
220,92,2025-04-16
221,40,2025-12-15
222,14,2025-02-04
223,51,2025-04-27
224,64,2025-06-14
225,24,2025-02-21
226,8,2025-01-24
227,3,2025-11-02
228,88,2025-04-21
229,64,2025-01-18
230,68,2025-12-27
231,57,2025-11-10
232,85,2025-06-25
233,16,2025-05-21
234,89,2025-11-10
235,13,2025-03-30
236,52,2025-04-24
237,64,2025-04-30
238,49,2025-08-19
239,30,2025-03-28
240,37,2025-05-01
241,71,2025-08-25
242,50,2025-10-24
243,58,2025-04-19
244,43,2025-05-13
245,76,2025-09-12
246,28,2025-02-26
247,6,2025-02-10
248,1,2025-01-08
249,41,2025-09-03
250,75,2025-07-16
251,26,2025-05-28
252,21,2025-07-24
253,20,2025-11-27
254,2,2025-01-16
255,19,2025-07-18
256,70,2025-12-07
257,73,2025-01-30
258,33,2025-07-14
259,11,2025-03-08
260,84,2025-08-25
261,2,2025-06-05
262,69,2025-01-19
263,68,2025-02-01
264,6,2025-03-08
265,100,2025-05-21
266,56,2025-03-02
267,25,2025-02-16
268,64,2025-01-15
269,17,2025-11-23
270,88,2025-05-23
271,85,2025-04-09
272,50,2025-08-18
273,81,2025-06-18
274,34,2025-05-18
275,82,2025-11-25
276,32,2025-05-05
277,76,2025-01-31
278,23,2025-10-30
279,55,2025-06-29
280,90,2025-11-06
281,82,2025-10-14
282,8,2025-09-25
283,71,2025-06-30
284,69,2025-07-31
285,92,2025-04-13
286,55,2025-10-02
287,9,2025-12-06
288,96,2025-05-17
289,93,2025-11-09
290,33,2025-02-07
291,13,2025-04-01
292,8,2025-03-19
293,55,2025-04-15
294,7,2025-01-23
295,12,2025-11-23
296,61,2025-09-20
297,48,2025-09-14
298,41,2025-02-20
299,17,2025-01-21
300,5,2025-09-30
